scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label,source_file
24,1779169493.358,0,0.6859,0.5042,0.046,0.0,91,0,0.3565,1,0.0,WAIT,interaction_green.csv
24,1779169493.358,2,0.8609,0.1069,0.2922,1012.603,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
25,1779169493.934,0,0.6828,0.5597,0.0494,0.0,95,0,0.4035,1,0.0,WAIT,interaction_green.csv
25,1779169493.934,1,0.4984,0.2097,0.2099,4.258,9,0,0.0098,1,0.0,ASK,interaction_green.csv
25,1779169493.934,2,0.8609,0.1069,0.3062,1013.179,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
26,1779169494.493,0,0.6828,0.5597,0.0928,0.0,99,0,0.4035,1,0.0,WAIT,interaction_green.csv
26,1779169494.493,2,0.8609,0.1069,0.3526,1013.738,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
27,1779169495.049,0,0.6836,0.5597,0.0938,0.0,103,0,0.4039,1,0.0,WAIT,interaction_green.csv
27,1779169495.049,2,0.8609,0.1069,0.3526,1014.294,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
28,1779169495.629,0,0.6828,0.5597,0.0945,0.0,107,0,0.4035,1,0.0,WAIT,interaction_green.csv
28,1779169495.629,2,0.3102,0.9708,0.2898,1014.874,0,0,0.7939,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
29,1779169496.186,0,0.6828,0.5597,0.0972,0.0,111,0,0.4035,1,0.0,WAIT,interaction_green.csv
29,1779169496.186,2,0.307,0.9667,0.2888,1015.431,0,0,0.7906,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
30,1779169496.766,0,0.6828,0.5597,0.0945,0.0,115,0,0.4035,1,0.0,WAIT,interaction_green.csv
30,1779169496.766,1,0.4531,0.2014,0.2385,7.09,9,1,0.0469,1,0.0,ASK,interaction_green.csv
30,1779169496.766,2,0.3055,0.9681,0.2924,1016.011,0,0,0.7923,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
31,1779169497.325,0,0.6828,0.5597,0.0945,0.0,119,0,0.4035,1,0.0,WAIT,interaction_green.csv
31,1779169497.325,1,0.4664,0.1972,0.2351,7.649,9,0,0.0337,1,0.0,ASK,interaction_green.csv
31,1779169497.325,2,0.8609,0.1069,0.3535,1016.57,0,1,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
32,1779169497.885,0,0.6828,0.5597,0.0978,0.0,123,0,0.4035,1,0.0,WAIT,interaction_green.csv
32,1779169497.885,1,0.4633,0.1972,0.2333,8.208,9,0,0.0368,1,0.0,ASK,interaction_green.csv
32,1779169497.885,2,0.332,0.9778,0.2741,1017.13,0,0,0.7957,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
33,1779169498.456,0,0.6836,0.5597,0.0945,0.0,127,0,0.4039,1,0.0,WAIT,interaction_green.csv
33,1779169498.456,1,0.4641,0.1972,0.2363,8.78,9,0,0.036,1,0.0,ASK,interaction_green.csv
33,1779169498.456,2,0.3289,0.9694,0.2767,1017.701,0,0,0.7882,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
34,1779169499.021,0,0.6828,0.5597,0.0942,0.0,131,0,0.4035,1,0.0,WAIT,interaction_green.csv
34,1779169499.021,1,0.4555,0.2097,0.2334,9.345,9,0,0.0456,1,0.0,ASK,interaction_green.csv
34,1779169499.021,2,0.3289,0.9694,0.2766,1018.266,0,0,0.7882,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
35,1779169499.597,0,0.6836,0.5597,0.0978,0.0,135,0,0.4039,1,0.0,WAIT,interaction_green.csv
35,1779169499.597,1,0.4633,0.2097,0.2281,9.921,9,0,0.038,1,0.0,ASK,interaction_green.csv
35,1779169499.597,2,0.3289,0.9708,0.2747,1018.842,0,0,0.7896,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
36,1779169500.157,0,0.6828,0.5597,0.0938,0.0,139,0,0.4035,1,0.0,WAIT,interaction_green.csv
36,1779169500.157,1,0.4648,0.2014,0.2342,10.48,9,0,0.0352,1,0.0,ASK,interaction_green.csv
36,1779169500.157,2,0.3289,0.9708,0.2771,1019.402,0,0,0.7896,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
37,1779169500.733,0,0.6836,0.5597,0.0948,0.0,143,0,0.4039,1,0.0,WAIT,interaction_green.csv
37,1779169500.733,1,0.468,0.2014,0.2321,11.057,9,0,0.0321,1,0.0,ASK,interaction_green.csv
37,1779169500.733,2,0.3297,0.9708,0.2765,1019.978,0,0,0.7894,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
38,1779169501.293,0,0.6828,0.5597,0.0972,0.0,147,0,0.4035,1,0.0,WAIT,interaction_green.csv
38,1779169501.293,1,0.4688,0.2014,0.2298,11.616,9,0,0.0313,1,0.0,ASK,interaction_green.csv
38,1779169501.293,2,0.3289,0.9722,0.2751,1020.538,0,0,0.7909,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
39,1779169501.853,0,0.6836,0.5597,999.0,0.128,150,0,0.4039,1,0.0,ASK,interaction_green.csv
39,1779169501.853,1,0.4664,0.2028,999.0,12.177,9,0,0.0337,1,0.0,ASK,interaction_green.csv
39,1779169501.853,2,0.3281,0.9708,999.0,1021.098,0,0,0.7898,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
40,1779169502.429,0,0.6789,0.5861,0.0461,0.0,153,0,0.4255,1,0.0,WAIT,interaction_green.csv
40,1779169502.429,1,0.4664,0.2125,0.242,12.752,9,0,0.0358,1,0.0,ASK,interaction_green.csv
40,1779169502.429,2,0.3359,0.9611,0.3864,1021.674,0,0,0.7786,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
41,1779169502.985,0,0.6805,0.5861,0.0448,0.0,157,0,0.4262,1,0.0,WAIT,interaction_green.csv
41,1779169502.985,1,0.4703,0.2139,0.2407,13.308,9,0,0.0328,1,0.0,ASK,interaction_green.csv
41,1779169502.985,2,0.3336,0.9639,0.3891,1022.23,0,0,0.7818,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
42,1779169503.565,0,0.6797,0.5861,0.045,0.0,161,0,0.4259,1,0.0,WAIT,interaction_green.csv
42,1779169503.565,1,0.4695,0.2111,0.2421,13.889,9,0,0.0324,1,0.0,ASK,interaction_green.csv
42,1779169503.565,2,0.3398,0.9611,0.3839,1022.81,0,0,0.7778,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
43,1779169504.126,0,0.6797,0.5861,0.0461,0.0,165,0,0.4259,1,0.0,WAIT,interaction_green.csv
43,1779169504.126,1,0.4648,0.2278,0.2395,14.449,9,0,0.0448,1,0.0,ASK,interaction_green.csv
43,1779169504.126,2,0.3391,0.9569,0.3835,1023.371,0,0,0.7739,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
44,1779169504.701,0,0.6805,0.5861,0.0499,0.0,169,0,0.4262,1,0.0,WAIT,interaction_green.csv
44,1779169504.701,1,0.4844,0.2875,0.2078,15.025,9,0,0.0889,1,0.0,ASK,interaction_green.csv
44,1779169504.701,2,0.343,0.9583,0.3836,1023.946,0,0,0.7744,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
45,1779169505.26,0,0.6844,0.5639,0.0664,0.0,173,0,0.4079,1,0.0,WAIT,interaction_green.csv
45,1779169505.26,1,0.5195,0.3375,0.1441,15.584,9,0,0.1389,1,0.0,ASK,interaction_green.csv
45,1779169505.26,2,0.343,0.9542,0.3883,1024.505,0,0,0.7703,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
46,1779169505.821,0,0.6859,0.5611,0.064,0.0,177,0,0.4062,1,0.0,WAIT,interaction_green.csv
46,1779169505.821,1,0.5312,0.3139,0.1198,0.0,10,0,0.1181,1,0.0,WAIT,interaction_green.csv
46,1779169505.821,2,0.3367,0.9611,0.3652,1025.067,0,0,0.7784,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
47,1779169506.398,0,0.6969,0.475,0.0463,0.0,181,1,0.3382,1,0.0,WAIT,interaction_green.csv
47,1779169506.398,1,0.5258,0.2833,0.1917,0.577,10,0,0.0872,1,0.0,ASK,interaction_green.csv
47,1779169506.398,2,0.3398,0.9639,0.3547,1025.643,0,0,0.7805,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
48,1779169506.957,0,0.6,0.2917,0.0371,0.0,183,1,0.1357,1,0.0,WAIT,interaction_green.csv
48,1779169506.957,1,0.5188,0.2264,0.0447,0.0,12,0,0.0324,1,0.0,WAIT,interaction_green.csv
